,날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,마늘가격,마늘거래량,마늘생산량,마늘저장이월량,마늘수입량,마늘수입금액,마늘재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가
69,2014-03-14,0.3,4.5,3.3,8.4,-0.9,66,21,2.1,17.2,2043.1170100000002,30.82,353760,0,52810,30417,25062,2204.58,1881.87,1697.26,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
70,2014-03-15,0.0,0.0,6.9,14.1,-1.4,59,16,2.6,13.5,2132.542715,17.32,353760,0,52810,30417,25062,2204.68,1881.8,1697.0,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
71,2014-03-16,0.0,0.0,10.6,18.0,4.2,62,14,2.2,14.5,2143.5766135000003,52.55,353760,0,52810,30417,25062,2204.33,1881.77,1696.83,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
72,2014-03-17,1.3,26.5,12.4,20.1,3.8,71,18,2.5,16.1,2154.610512,87.78,353760,0,52810,30417,25062,2203.72,1881.8,1696.95,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
73,2014-03-18,0.5,13.5,12.6,18.3,7.4,67,13,3.1,14.6,2610.321873,27.43,353760,0,52810,30417,25062,2203.71,1881.66,1696.52,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
74,2014-03-19,0.1,2.5,9.0,12.6,5.8,64,29,2.0,11.6,2204.7139899999997,19.81,353760,0,52810,30417,25062,2204.0,1881.47,1696.19,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
75,2014-03-20,2.7,17.5,6.4,10.7,3.0,69,20,3.0,24.2,2143.974935,62.56,353760,0,52810,30417,25062,2203.07,1881.27,1695.94,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
76,2014-03-21,0.0,0.5,5.0,10.4,0.5,59,17,2.6,21.0,2088.242944,24.38,353760,0,52810,30417,25062,2203.16,1880.8,1695.33,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
77,2014-03-22,0.0,0.0,7.6,15.6,-1.0,58,14,1.9,8.9,1972.4640789999999,32.03,353760,0,52810,30417,25062,2202.87,1880.6,1694.98,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
78,2014-03-23,0.0,0.0,10.2,18.3,2.4,52,10,2.0,10.4,2019.5460615,53.36,353760,0,52810,30417,25062,2202.8,1880.46,1694.67,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
79,2014-03-24,0.0,0.1,11.2,18.1,2.2,50,6,2.3,12.6,2066.628044,74.69,353760,0,52810,30417,25062,2202.58,1880.33,1694.7,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
80,2014-03-25,9.3,35.5,14.2,18.1,11.2,72,20,1.8,13.5,2062.521427,26.72,353760,0,52810,30417,25062,2201.07,1880.02,1694.39,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
81,2014-03-26,8.9,26.0,13.8,19.0,9.5,80,13,1.6,10.3,2247.594741,20.0,353760,0,52810,30417,25062,2200.74,1879.79,1694.09,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
82,2014-03-27,0.0,0.0,12.7,20.6,6.4,71,12,1.6,9.1,2042.072629,129.16,353760,0,52810,30417,25062,2201.43,1879.51,1693.82,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
83,2014-03-28,0.0,1.5,15.7,24.1,7.6,59,10,1.9,13.8,2085.972299,86.86,353760,0,52810,30417,25062,2200.81,1879.34,1693.62,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
84,2014-03-29,10.7,70.0,14.2,17.2,11.7,82,23,1.9,14.8,2123.9488890000002,24.57,353760,0,52810,30417,25062,2200.91,1879.13,1693.22,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
85,2014-03-30,3.8,20.0,12.7,18.0,8.2,73,26,2.6,17.6,2116.4635005,53.22,353760,0,52810,30417,25062,2200.12,1879.02,1693.02,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
86,2014-03-31,0.0,0.0,12.0,19.8,5.5,66,11,1.4,7.8,2108.9781120000002,81.87,353760,0,52810,30417,25062,2199.91,1878.94,1693.14,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
87,2014-04-01,0.0,0.0,13.2,21.8,5.3,56,9,1.5,7.1,2085.9613329999997,28.14,353760,0,52810,30417,25062,2199.99,1878.66,1692.96,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
88,2014-04-02,0.0,0.0,14.3,22.6,6.3,48,11,1.6,9.4,1899.6015289999998,28.26,353760,0,52810,30417,25062,2200.63,1878.42,1692.75,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
89,2014-04-03,4.9,34.0,10.7,18.1,5.0,62,12,2.4,18.6,2034.4223399999998,45.64,353760,0,52810,30417,25062,2199.82,1878.43,1692.64,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
90,2014-04-04,0.8,14.5,7.0,11.9,2.8,54,14,3.0,22.7,2273.325343,22.95,353760,0,52810,30417,25062,2200.23,1878.3,1692.45,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
91,2014-04-05,0.6,6.5,6.2,12.3,1.2,59,12,2.6,20.8,2165.857831,19.53,353760,0,52810,30417,25062,2200.23,1878.16,1692.11,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
92,2014-04-06,0.0,1.5,8.0,13.9,2.5,44,10,3.3,19.8,2278.515343,26.045,353760,0,52810,30417,25062,2199.49,1878.08,1691.83,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
93,2014-04-07,0.0,0.0,11.6,19.2,3.9,47,10,2.8,12.5,2391.1728550000003,32.56,353760,0,52810,30417,25062,2200.29,1877.99,1691.93,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
94,2014-04-08,0.0,0.0,12.2,20.7,3.9,47,8,1.8,9.9,2578.249196,24.88,353760,0,52810,30417,25062,2197.6,1877.71,1691.4,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
95,2014-04-09,0.0,0.0,12.9,20.9,4.9,59,8,1.8,9.2,2295.591977,25.15,353760,0,52810,30417,25062,2198.53,1877.47,1691.14,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
96,2014-04-10,0.0,0.0,12.8,20.7,7.0,61,9,2.3,11.5,2533.676935,36.1,353760,0,52810,30417,25062,2198.3,1877.19,1690.81,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
