날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,무거래량,무생산량,무저장이월량,무수입량,무수입금액,무재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가,무가격
2019-11-18,12.8,32.8,8.4,16.2,3,65,15,3.6,22.2,2689.11,1127832,0,4015,1005,19498,1819.94,1535.3,1380.13,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,748.2876802
2019-11-19,0.1,3.9,3.3,6.8,0.1,57,18,2.7,18.7,1899.97,1127832,0,4015,1005,19498,1820.66,1535.36,1379.84,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,791.9859066
2019-11-20,0,0.2,2.2,8.7,-2.5,54,8,1.5,11.7,2294.97,1127832,0,4015,1005,19498,1821.61,1535.46,1379.68,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,771.4510911
2019-11-21,0,0,4.7,12.1,-3,55,12,1.1,7.8,2370.46,1127832,0,4015,1005,19498,1821.39,1535.76,1379.7,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,790.6148647
2019-11-22,0,0,8.9,17.3,2.4,65,16,1.3,8.4,2513.9,1127832,0,4015,1005,19498,1821.09,1536.04,1379.78,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,829.9283544
2019-11-23,0,0.4,10.4,18.1,4.1,76,33,1.1,7.6,2661.34,1127832,0,4015,1005,19498,1821,1536.34,1379.82,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,889.4683892
2019-11-25,2.7,71.1,5.7,10.6,3.1,70,31,2.5,18.5,2856.66,1127832,0,4015,1005,19498,1821.53,1536.84,1380,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,726.4158425
2019-11-26,0.3,14,7.5,13.4,2.2,73,30,1.3,8.6,1992.71,1127832,0,4015,1005,19498,1821.55,1537.09,1380.05,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,652.7321938
2019-11-27,0.8,25.4,6,9.5,2.4,64,28,2,14.1,1853.65,1127832,0,4015,1005,19498,1821.49,1537.4,1380.13,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,658.3614375
2019-11-28,2.3,52.4,4.6,10.4,0.1,73,29,1.5,14,1897.78,1127832,0,4015,1005,19498,1820.68,1537.75,1380.26,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,755.8485277
2019-11-29,0,20,3.1,9.8,-1.5,63,7,1.4,10.5,2042.58,1127832,0,4015,1005,19498,1820.96,1538.07,1380.37,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,758.470452
2019-11-30,0.1,12.2,5.1,12.6,-1.9,63,20,1,8,1966.98,1127832,0,4015,1005,19498,1820.76,1538.41,1380.35,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,769.7506924
2019-12-02,0.2,4.2,3.3,6.7,-0.1,57,21,3.1,20,1639.4,1127832,0,4015,1005,19498,1821.91,1539.22,1380.65,0.7,-0.8,1.1,-0.2,-0.9,1.6,0.7,1.1,873.2184403
2019-12-03,0.4,11.7,2,6.4,-3.1,68,26,1.7,16.2,1574.88,1127832,0,4015,1005,19498,1822.18,1539.85,1380.94,0.7,-0.8,1.1,-0.2,-0.9,1.6,0.7,1.1,779.8794819
2019-12-04,0.1,2.6,3.9,9.2,-0.6,63,20,1.5,11.5,1558.58,1127832,0,4015,1005,19498,1822.65,1540.18,1381.01,0.7,-0.8,1.1,-0.2,-0.9,1.6,0.7,1.1,803.2740681
2019-12-05,0,3.3,0,4.6,-4.7,47,6,2.6,14.4,1795.58,1127832,0,4015,1005,19498,1822.87,1540.71,1381.15,0.7,-0.8,1.1,-0.2,-0.9,1.6,0.7,1.1,758.9854504
2019-12-06,0,2.9,-3.5,2.1,-8.1,46,9,1.9,12.6,1459.77,1127832,0,4015,1005,19498,1822.47,1541.4,1381.42,0.7,-0.8,1.1,-0.2,-0.9,1.6,0.7,1.1,830.4999575
2019-12-07,0,1.1,-0.3,5.7,-6.9,63,20,1.6,13.7,794,1127832,0,4015,1005,19498,1822.89,1542.28,1381.78,0.7,-0.8,1.1,-0.2,-0.9,1.6,0.7,1.1,872.3232636
2019-12-09,0.1,4.5,2.5,9.7,-4.1,71,20,1.2,8.2,1228.16,1127832,0,4015,1005,19498,1822.07,1543.34,1382.35,0.7,-0.8,1.1,-0.2,-0.9,1.6,0.7,1.1,959.1180309
2019-12-10,0.4,6,6.1,13,1.1,80,27,1.2,8.6,1401.09,1127832,0,4015,1005,19498,1821.63,1544.07,1382.64,0.7,-0.8,1.1,-0.2,-0.9,1.6,0.7,1.1,1042.093728
