날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,대파거래량,대파생산량,대파저장이월량,대파수입량,대파수입금액,대파재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가,대파가격
2017-12-01,0,0.6,-0.6,4.8,-5.2,41,11,2.1,13.5,302.37,378827,0,11814,62005,13122,1853.66,1534.92,1327.06,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1066.235444
2017-12-02,0,0.5,1.3,8.1,-4.9,58,14,1.2,10.9,347.48,378827,0,11814,62005,13122,1853.97,1535.66,1327.66,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1096.553692
2017-12-04,0.2,13,2.2,6.9,-2.6,57,13,2.9,17.6,391.46,378827,0,11814,62005,13122,1854.84,1536.55,1328.63,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1110.905601
2017-12-05,0.2,10.1,-2.3,1.9,-6,47,12,2.6,19.3,308.9,378827,0,11814,62005,13122,1854.96,1536.83,1328.99,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1302.750737
2017-12-06,0.9,7.7,0.6,6.7,-5.2,69,22,1.3,12.6,319.57,378827,0,11814,62005,13122,1855.37,1537.35,1329.52,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1320.067529
2017-12-07,0.9,6.5,2.6,7.6,-1.9,66,18,1.7,15.8,320.63,378827,0,11814,62005,13122,1855.28,1537.85,1329.85,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1345.783712
2017-12-08,0.2,11.7,-1.3,2.4,-4.3,49,14,2.8,20.7,336.35,378827,0,11814,62005,13122,1855.95,1538.13,1330.2,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1358.356588
2017-12-09,0,1.7,0.7,6.2,-4.5,62,19,1.3,12.9,344.4,378827,0,11814,62005,13122,1856.24,1538.36,1330.31,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1378.049402
2017-12-11,0.2,4.7,-3,1.7,-6.7,49,14,4.1,19.1,422.61,378827,0,11814,62005,13122,1855.06,1538.86,1330.99,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1388.295765
2017-12-12,0,4.7,-6,-1.7,-9.7,47,9,2.7,18.2,352.9,378827,0,11814,62005,13122,1855.24,1539.28,1331.29,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1439.03395
2017-12-13,0,4,-5.2,0.4,-9.6,45,5,2.3,12.6,326.91,378827,0,11814,62005,13122,1854.39,1539.47,1331.57,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1501.853922
2017-12-14,0,2,-4,2.8,-10.5,50,6,1.1,9.3,350.21,378827,0,11814,62005,13122,1854.78,1539.97,1332.08,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1418.151714
2017-12-15,0,1.3,-0.8,4.7,-7.2,48,2,1.4,10.4,325.19,378827,0,11814,62005,13122,1855.45,1540.38,1332.49,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1355.004044
2017-12-16,0.2,6.5,-1.7,2.1,-5.6,49,14,3.1,24.2,403.64,378827,0,11814,62005,13122,1855.17,1540.66,1332.66,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1284.195824
2017-12-18,0.3,3.4,-0.2,5.7,-7.3,66,27,1.7,11.9,383.48,378827,0,11814,62005,13122,1855.17,1541.12,1333.36,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1279.275885
2017-12-19,0.1,4.4,-1.3,3.4,-5.9,52,17,2.6,16.2,404.41,378827,0,11814,62005,13122,1855.53,1541.55,1333.75,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1234.733997
2017-12-20,0.7,6.2,-1.5,4.7,-7.8,61,17,1.5,17.1,329.93,378827,0,11814,62005,13122,1856.4,1541.76,1333.99,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,1256.371864
